Anno,Regione,Categoria,Entrate_permille,Uscite_permille,Saldo_permille
FINALE,Lombardia,Lavoratore_Diploma,133.3,0.0,133.3
FINALE,Lombardia,Studente_Licenza,0.0,0.0,0.0
FINALE,Lombardia,Disoccupato,0.0,0.0,0.0
FINALE,Marche,Lavoratore_Laurea,0.0,0.0,0.0
FINALE,Marche,Pensionato,0.0,0.0,0.0
FINALE,Marche,Lavoratore_Licenza,0.0,0.0,0.0
FINALE,Marche,Studente_Laurea,0.0,0.0,0.0
FINALE,Marche,Studente_Diploma,0.0,0.0,0.0
FINALE,Marche,Lavoratore_Diploma,133.3,0.0,133.3
FINALE,Marche,Studente_Licenza,0.0,0.0,0.0
FINALE,Marche,Disoccupato,0.0,0.0,0.0
FINALE,Liguria,Lavoratore_Laurea,0.0,0.0,0.0
FINALE,Liguria,Pensionato,0.0,0.0,0.0
FINALE,Liguria,Lavoratore_Licenza,0.0,0.0,0.0
FINALE,Liguria,Studente_Laurea,0.0,0.0,0.0
FINALE,Liguria,Studente_Diploma,0.0,0.0,0.0
FINALE,Liguria,Lavoratore_Diploma,0.0,0.0,0.0
FINALE,Liguria,Studente_Licenza,0.0,0.0,0.0
FINALE,Liguria,Disoccupato,0.0,0.0,0.0
FINALE,Lazio,Lavoratore_Laurea,666.7,0.0,666.7
FINALE,Lazio,Pensionato,0.0,0.0,0.0
FINALE,Lazio,Lavoratore_Licenza,0.0,0.0,0.0
FINALE,Lazio,Studente_Laurea,0.0,0.0,0.0
FINALE,Lazio,Studente_Diploma,0.0,0.0,0.0
FINALE,Lazio,Lavoratore_Diploma,400.0,0.0,400.0
FINALE,Lazio,Studente_Licenza,0.0,0.0,0.0
FINALE,Lazio,Disoccupato,0.0,0.0,0.0
FINALE,Umbria,Lavoratore_Laurea,0.0,266.7,-266.7
FINALE,Umbria,Pensionato,0.0,0.0,0.0
FINALE,Umbria,Lavoratore_Licenza,0.0,0.0,0.0
FINALE,Umbria,Studente_Laurea,0.0,0.0,0.0
FINALE,Umbria,Studente_Diploma,0.0,0.0,0.0
FINALE,Umbria,Lavoratore_Diploma,0.0,0.0,0.0
FINALE,Umbria,Studente_Licenza,0.0,0.0,0.0
FINALE,Umbria,Disoccupato,0.0,0.0,0.0
FINALE,Valle d'Aosta,Lavoratore_Laurea,0.0,0.0,0.0
FINALE,Valle d'Aosta,Pensionato,0.0,0.0,0.0
FINALE,Valle d'Aosta,Lavoratore_Licenza,0.0,0.0,0.0
FINALE,Valle d'Aosta,Studente_Laurea,0.0,0.0,0.0
FINALE,Valle d'Aosta,Studente_Diploma,0.0,0.0,0.0
FINALE,Valle d'Aosta,Lavoratore_Diploma,0.0,0.0,0.0
FINALE,Valle d'Aosta,Studente_Licenza,0.0,0.0,0.0
FINALE,Valle d'Aosta,Disoccupato,0.0,0.0,0.0
FINALE,Emilia-Romagna,Lavoratore_Laurea,133.3,0.0,133.3
FINALE,Emilia-Romagna,Pensionato,0.0,0.0,0.0
FINALE,Emilia-Romagna,Lavoratore_Licenza,0.0,0.0,0.0
FINALE,Emilia-Romagna,Studente_Laurea,0.0,0.0,0.0
FINALE,Emilia-Romagna,Studente_Diploma,0.0,0.0,0.0
FINALE,Emilia-Romagna,Lavoratore_Diploma,133.3,0.0,133.3
FINALE,Emilia-Romagna,Studente_Licenza,0.0,0.0,0.0
FINALE,Emilia-Romagna,Disoccupato,0.0,0.0,0.0
FINALE,Sicilia,Lavoratore_Laurea,0.0,133.3,-133.3
FINALE,Sicilia,Pensionato,0.0,0.0,0.0
FINALE,Sicilia,Lavoratore_Licenza,0.0,0.0,0.0
FINALE,Sicilia,Studente_Laurea,0.0,0.0,0.0
FINALE,Sicilia,Studente_Diploma,0.0,0.0,0.0
FINALE,Sicilia,Lavoratore_Diploma,0.0,0.0,0.0
FINALE,Sicilia,Studente_Licenza,0.0,0.0,0.0
FINALE,Sicilia,Disoccupato,0.0,0.0,0.0
